__label__社会 , エジプト と スーダン の 国境 に 位置 する 、 1970 年 の アスワンハイダム 建設 によって 誕生 し た 人工 湖 は ○ ○ ○ 湖 ？ ( 3 文字 ) ナセル 
__label__社会 , 次 の 日本 の 歴史 上 の 景気 を 古い 順 に 選び なさい 岩戸 景気 いざなぎ景気 神武 景気 オリンピック 景気 
__label__社会 , 市販 の 書籍 に 付け られる 「 国際 標準 図書 番号 」 の こと を アルファベット 4 字 で 何 という ？ ( 4 文字 ) ISBN 
__label__社会 , 日本 の 国会 議員 に 支給 さ れる いわゆる 「 議員 バッジ 」 は どんな 花 を デザイン し た もの ？ 桜 梅 ひまわり 菊 
__label__社会 , 日本 の 地図 の 海岸 線 は 満潮 時 の もの で ある 
__label__社会 , 旅客機 の 機内 に 設け られ て いる 機内 食 を 準備 する ため の 調理場 を 何 という ？ ギャレー 
__label__社会 , 首都 を マドリード に 置く ヨーロッパ の 国 は ？ ( 4 文字 ) スペイン 
__label__社会 , 中国 の 三 国 時代 に 呉 が 首都 と し た 建 業 は 現在 の 北京 市 で ある 
__label__社会 , 次 の 国 を 地域 ごと に グループ 分け し なさい 北 アメリカ オセアニア 南 アメリカ チリ カナダ ニュージーランド 
__label__社会 , メディア の 特性 を 理解 し 、 情報 を 取捨選択 し て 活用 する 能力 を 「 メディア ○ ○ ○ ○ ○ 」 という ？ ○ を 答え なさい リテラシー 
__label__社会 , 石油 と 天然 ガス の 産出 量 が 日本一 の 都道府県 は ？ ひ ら が なで 答え なさい に い が たけん 
__label__社会 , 八戸 運輸 区 長岡 車両 センター 浦和 電車 区 東京 総合 車両 センター JR 東海 JR 東日本 JR 西日本 JR 貨物 
__label__社会 , JR が 発売 する 乗車 券 青春 18 きっぷ の 利用 期間 に は ゴールデンウィーク も 含ま れる 
__label__社会 , 宮沢 喜一 内閣 で 建設 大臣 宇野 宗佑 内閣 で 防衛庁 長官 1999 年 自民党 総裁 選 に 出馬 2003 年 自民党 副 総裁 に 就任 青木 幹雄 山崎 招 片山 虎之助 亀井 静香 
__label__社会 , 南半球 で 最も 標高 が 高い 山 は キリマンジャロ で ある 
__label__社会 , 日産自動車 は 中国 に 本社 を 置く 自動車 会社 で ある 
__label__社会 , 和歌山 県 の 那智勝浦 町 に ある 西国 三 十 三 所 の 第 1 番 札所 せい がん とじ 
__label__社会 , 敷地 面積 に対する 建物 の 延べ 床 面積 の 割合 容積 率 
__label__社会 , 世界 で 人口 が 10 億 人 を 超え て いる 国 は 中国 だけ で ある 
__label__社会 , 日本 で は 政治 家 個人 に対する 企業 献金 は 禁止 さ れ て いる 
__label__社会 , 観覧 車 「 ビッグ ・ オー 」 サンダードルフィン 商業 施設 ラクーア ヒーロー ショー の 聖地 浅草 花やしき と し まえん 東京ドーム シティ 上野 動物 園 
__label__社会 , 次 の 国 を 、 20 世紀 の 冷戦 下 で 掲げ た イデオロギー ごと に グループ 分け し なさい 社会 主義 資本 主義 北朝鮮 アメリカ ソ連 オーストラリア 東ドイツ モンゴル 
__label__社会 , アルジェリア の 首都 は アルジェ です が アルゼンチン の 首都 は ？ アルジェ エレバン アブジャ ブエノスアイレス 
__label__社会 , 「 カミソリ 」 と あだ名 さ れ た 元 警察庁 長官 で 、 中曽根 内閣 の 内閣 官房 長官 を 務め た 政治 家 は 後藤田 正晴 です が その 大 甥 にあたる 政治 家 で 女優 の 水野 真紀 を 妻 に 持つ の は 後藤田 ○ ○ ？ ○ の 名前 を ひ ら が なで 答え なさい まさ ずみ 
__label__社会 , 1989 年 、 ラスベガス の テレビ局 に 「 エリア 51 」 で UFO の 研究 を 行っ て い た と 暴露 し た 謎 の 人物 は ロバート ・ スコット ・ ○ ○ ○ ？ ( 3 文字 ) ラザー 
__label__社会 , 所在地 で ある 山梨 県 の 村 の 名 が 付い た 、 富士山 の 伏流 水 に 由来 する という 湧 水 池 群 は ○ ○ 八 海 ？ ○ の 漢字 を ひ ら が なで 答え なさい おし の 
__label__社会 , 次 の 政党 を 政治 家 の 菅 直人 が 所属 し た 順 に 選び なさい 民主党 社会 民主 連合 新党 さきがけ 社会 市民 連合 
__label__社会 , 領域 として は 中央アジア に 属する 、 省 都 を ウルムチ に 置く 中国 北西 端 の 自治 区 は 「 新 疆 ○ ○ ○ ○ 自治 区 」 ？ ウイグル 
__label__社会 , 世界 で もっとも 発電 量 が 多い の は 原子力 発電 で ある 
__label__社会 , [ 画像 問 ] 次 の うち 、 アメリカ インディアン の 移動 式 住居 は どっち ？ （ A . 白い 、 扉 付き の 住居 。 奥 に も 2 つ 見える | B . 円錐 型 、 OPEN の 文字 ） 
__label__社会 , JR 渋谷 駅 の 南側 に あり 北側 の ハチ公 像 とともに 待ち合わせ 場所 として 知ら れる モニュメント は モヤイ 像 で ある 
__label__社会 , 次 の 都市 と 、 それ を 首都 と する イギリス の 地域 の 正しい 組み合わせ を 選び なさい ベルファスト ロンドン カーディフ D . エディンバラ ウェールズ イングランド スコットランド 4 . 北アイルランド 
__label__社会 , UFO に関する 噂 が 絶え ない 基地 「 エリア 51 」 は アメリカ の 陸軍 が 管理 し て いる 
__label__社会 , 下北 半島 や 津軽 半島 が ある の は 青森 県 です が 奄美 半島 や 知多 半島 が ある の は 何 県 ？ 青森 県 千葉 県 長崎 県 愛知 県 
__label__社会 , 公団 住宅 第 1 号 の 金岡 団地 が あっ た 大阪 府 の 都市 は 堺 市 で ある 
__label__社会 , 次 の 日本 の 祭 と それ が 行わ れる 季節 の 正しい 組み合わせ を 選び なさい 博多 どん たく さ っぽ ろ 雪 祭り 弘前 ねぷた 祭り D . お わら 風 の 盆 秋 夏 冬 春 4 . 秋 
__label__社会 , 次 の うち 全て ひら が な 表記 の 市 が ある 都道府県 を 全て 選び なさい 北海道 石川 県 大分 県 
__label__社会 , 北朝鮮 の 地下 核 実験 場 が ある と いわ れる 町 です 豊 渓 里 
__label__社会 , ヨーロッパ を 流れる ライン 川 の 河口 が ある 国 は オランダ で ある 
__label__社会 , 上 から 4 段 に 分かれ その 合計 落差 が 350 m と 日本一 の 高 さ を 誇っ て いる の は 富山 県 に ある ○ ○ の 滝 ？ ( 2 文字 ) 称名 
__label__社会 , 九州 に ある 7 つ の 県 で は 県 名 と 県庁 所在地 の 都市 名 が 全て 同じ で ある 
__label__社会 , 次 の 都市 の うち もっとも 西 に ある の は ？ 東大阪 市 北九州 市 西東京 市 南 アルプス 市 
__label__社会 , 2011 年 に 、 国内 4 件 目 の 世界 自然 遺産 と なっ た の は 東京 の 「 ○ ○ ○ 諸島 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい お がさ わら 
__label__社会 , ハワイ が 正式 に アメリカ の 州 に なっ た の は 1950 年代 の こと で ある 
__label__社会 , 違法 駐車 し て いる 車両 と 接触 事故 を 起こし て も 損害 賠償 を 行う 必要 は ない 
__label__社会 , 次 の 文字 を 順に 選ん で 標高 959 m と 大阪 府 で 最も 高い 山 の 名前 に し なさい 城 大 葛 和 
__label__社会 , 「 未 確認 飛行 物体 」 を アルファベット 3 文字 で 略す と ○ ○ ○ ？ アルファベット で 答え なさい UFO 
__label__社会 , 政府 や 銀行 の 資金 援助 による 業績 が 悪化 し た 企業 へ の 救済 ベイルアウト 
__label__社会 , その 車体 イメージ から 「 フェラーリ 特急 」 と も 呼ば れる 、 2012 年 に 開業 し た イタリア の 高速 鉄道 は ？ イタロ 
__label__社会 , 2012 年 6 月 に お 台場 に オープン する テーマパーク は 「 ○ ○ ○ ○ ○ ・ ディスカバリー ・ センター 東京 」 ？ ○ を 答え なさい レゴランド 
__label__社会 , 第 44 代 アメリカ 大統領 バラク・オバマ の 出身 大学 は コロンビア大学 で ある 
__label__社会 , 北米 の 五大 湖 と カナダ の 州 に 共通 の 名前 オンタリオ 
__label__社会 , 公用 語 として 、 最も 多く の 人々 に 用い られ て いる 言語 は 英語 で ある 
__label__社会 , 学校 に対して 、 理不尽 な ほど 難しい 要求 を 突きつける 保護 者 の こと を 、 一般に ○ ○ ○ ○ ○ ペアレント という ？ モンスター 
__label__社会 , 日本 の 航空 会社 の 航空機 内 で は 喫煙 が 認め られ て いる 
__label__社会 , 次 の 国定 公園 と それ が 位置 する 都道府県 の 正しい 組み合わせ を 選び なさい 北長 門 海岸 国定 公園 丹沢 大山 国定 公園 早 池峰 国定 公園 岩手 県 山口 県 神奈川 県 
__label__社会 , 次 の 行政 機関 の 成文法 と それ を 制定 する 者 の 正しい 組み合わせ を 選び なさい 規則 政令 内閣 府 令 内閣 総理 大臣 行政 委員 会 内閣 
__label__社会 , 次 の JR の 貨車 の 記号 と それ が 意味 する 用途 の 正しい 組み合わせ を 選び なさい ソ チ セ 操 重 車 長物 車 石炭 車 
__label__社会 , 日本 の 2 世 政治 家 で 石原 伸晃 の 父親 は 石原 慎太郎 です が 梶山 弘志 の 父親 は 梶山 ○ ○ ？ ○ の 名前 を ひ ら が なで 答え なさい せ いろ く 
__label__社会 , コロラド 川 の 流れ が 数 億 年 の 歳月 を かけ て 浸食 ・ 形成 し た 大 峡谷 は ○ ○ ○ ○ キャニオン ？ ○ を 答え なさい グランド 
__label__社会 , 著書 『 不 確実 性 の 時代 』 で 有名 な アメリカ の 経済 学者 は ジョン・ケネス・ ○○○○○○？ ガルブレイス 
__label__社会 , 相場 の 変動 を 図る 目的 で 虚偽 の 情報 を 流す 行為 を 「 ○ ○ の 流布 」 という ？ ○ の 漢字 を ひ ら が なで 答え なさい ふう せ つ 
__label__社会 , 北海道 の 最北端 に ある 岬 は 納沙布岬 で ある 
__label__社会 , 次 の うち 国立 大学 を 全て 選び なさい 旭川医科大学 滋賀 医療大 学 浜松医科大学 
__label__社会 , [ 動画 問 ] 次 の うち 岡山 県 は どっち ？ （ A . 見える 主 塔 は 1 塔 | B . 見える 主 塔 は 複数 ） 
__label__社会 , 1989 年 に 、 女性 として 初めて 国民 栄誉 賞 を 受賞 し た の は 漫画 家 の 長谷川 町子 で ある 
__label__社会 , 登山 で 人気 の 高尾山 が ある 東京 都 の 都市 は 多摩 市 で ある 
__label__社会 , 東証 一部 上場 企業 という 時 の 「 東証 」 と は ○ ○ 証券 取引 所 の 略 ？ ○ の 漢字 を ひ ら が なで 答え なさい とう きょう 
__label__社会 , 日本 で 、 パスポート を 発行 し て いる 中央 官庁 は ○ ○ 省 ？ ○ の 漢字 を ひ ら が なで 答え なさい が いむ 
__label__社会 , 次 の 人物 を 知事 を 務め た 都道府県 ごと に グループ 分け し なさい 東京 都 大阪 府 青島 幸男 横山 ノック 橋 下 徹 石原 慎太郎 
__label__社会 , 次 の 建造 物 の うち 世界 遺産 に 登録 さ れ て いる もの は ？ 東京 タワー エッフェル塔 マカオ タワー スカイ タワー 
__label__社会 , 人 を そそのかし て 犯罪 を 実行 さ せる 者 は 「 ○ ○ 犯 」 ？ 教唆 
__label__社会 , 「 近代 宇宙 旅行 協会 」 を 設立 し た 、 日本 の UFO 研究 の 先駆 者 は 矢追 純一 で ある 
__label__社会 , 次 の 学校 を 一般に 入学 できる 年齢 が 若い もの から 順に 選び なさい 中学校 高等 学校 小学校 幼稚園 
__label__社会 , 次 の 京都 の 祭 を 1 年 の うち で 先 に 行わ れる もの から 順に 選び なさい 祇園祭 時代 祭 葵祭 
__label__社会 , 日本 の 刑罰 で 、 罰金 の 金額 は 最低 1 万 円 と 決め られ て いる 
__label__社会 , 2011 年 9 月 に 発足 し た 野田 内閣 に 入閣 し た 女性 政治 家 は 蓮 舫 と 誰 ？ フルネーム で 答え なさい こ みやま ようこ 
__label__社会 , 次 の 省庁 の 外局 を 誕生 し た 順 に 選び なさい 観光 庁 文化庁 資源エネルギー庁 
__label__社会 , ラジオ の 交通 情報 で よく 耳 に する 「 日本道路 交通 情報 センター 」 の 略称 と いえ ば ？ JARTIC 
__label__社会 , 医薬品 会社 の マスコット で 佐藤製薬 と いえ ば ○ ○ ちゃん ？ ○ を 答え なさい サト 
__label__社会 , 日本 に は 、 条文 が 1 つ しか ない 法律 が 存在 する 
__label__社会 , [ 画像 問 ] パラグアイ の 国旗 は 、 表 と 裏 で デザイン が 異なり ます が 表 は どっち ？ （ A . 中央 に 国 章 | B . 中央 に ライオン ） 
__label__社会 , 東京 都 の 特別 区 で 、 大森 区 と 蒲田 区 が 合併 し て 誕生 し た の は 太田 区 です が 芝 区 ・ 麻布 区 ・ 赤坂 区 が 合併 し て 誕生 し た の は ○ 区 ？ ○ の 漢字 を ひ ら が なで 答え なさい みなと 
__label__社会 , 南極 の 昭和 基地 が 完成 し た の は 昭和 時代 で ある 
__label__社会 , 2012 年 の 世界 経済 フォーラム の 年次 総会 ・ ダボス 会議 において 東日本 大震災 に関する スピーチ を 行っ た 俳優 は 高倉 健 で ある 
__label__社会 , 『 R 25 』 『 ホットペッパー 』 など の フリー ペーパー を 発行 し て いる 会社 は ？ リクルート 
__label__社会 , 1989 年 に 運転 を 開始 し た 横浜 市 の 新杉田 駅 と 金沢 八景 駅 を 結ん で いる 新 交通 システム は 金沢 ○ ○ ○ ○ ○ ライン ？ ( 5 文字 ) シーサイド 
__label__社会 , 幕張メッセ など の 作品 で 知ら れる 日本 の 建築 家 です 槇 文彦 
__label__社会 , 川 の 流れ に 沿っ て 発達 する 階段 状 の 地形 は ？ 河岸 段丘 
__label__社会 , 国土 地理 院 が 集計 し た 「 都道府県 の 面積 」 で 狭い 方 から 数え て 3 番目 まで に 入る 都道府県 を 1 つ 答え なさい か が わけん おおさか ふ とう きょう と 
__label__社会 , 毎年 8 月 に 広島 県 三原 市 で 催さ れる 、 踊り の かけ声 に 由来 する 名前 の 祭り は ○ ○ ○ 祭 ？ ○ を 答え なさい やっ さ 
__label__社会 , 共通 する 誕生 日 桑野 信義 山本 五十六 山本 昌邦 2 月 2 日 4 月 4 日 1 月 1 日 5 月 5 日 
__label__社会 , アメリカ の 州 で 、 太平洋 岸 に ある ワシントン 州 の 中心 都市 は ？ シアトル 
__label__社会 , ウガンダ の 国旗 に 描か れ て いる 国鳥 は ○ ○ ○ ○ ヅル ？ カン ムリ 
__label__社会 , 初代 大統領 の 名前 が 付い た アメリカ 西海岸 の 州 は ？ ワシントン 
__label__社会 , 東京 に ある 羽田空港 で 運行 し て いる の は 国内線 だけ で ある 
__label__社会 , 新潟 県 から 静岡 県 に 至る 本州 を 二分 する 大 断層 線 は ○ ○ ○ 静岡 構造 線 ？ ○ の 漢字 を ひ ら が なで 答え なさい いとい が わ 
__label__社会 , 次 の 河川 を 区域 ごと に グループ 分け し なさい 中部 近畿 天竜 川 木津川 保津川 
__label__社会 , オリンピア 、 スパルタ など 多く の 遺跡 が 残る ギリシャ 南部 の 半島 は ？ ペロポネソス 半島 
__label__社会 , 飛行機 を 乗っ取る こと を 「 ハイジャック 」 という 
__label__社会 , 文部 科学 省 唯一 の 外局 と いえ ば ○ ○ 庁 ？ ( 2 文字 ) 文化 
__label__社会 , アメリカ の 首都 ・ ワシントン D . C . で 最初 の 公選 市長 の ファミリー ネーム も やはり ワシントン で ある 
__label__社会 , 九州 地方 の 最高峰 で ある 屋久島 の 中央 に ある 山 は ？ 宮之浦岳 
__label__社会 , 首都 を バクー に 置く 旧 ソ連 を 構成 し た 共和 国 アゼルバイジャン 
__label__社会 , 国土 地理 院 の 集計 による 「 都道府県 の 面積 」 で 広 さ で トップ 3 に 入る 都道府県 を 1 つ 答え なさい ほっ かい どう いわ てけ ん ふくし まけん 
__label__社会 , オックスフォード大学 と ケンブリッジ 大学 で 先 に 創立 さ れ た の は オックスフォード大学 の 方 で ある 
__label__社会 , かつて 水没 の 噂 が 流れ た バヌアツ 共和 国 の 島 エロ マンガ 
__label__社会 , 次 の うち 、 海 に 面し て いる 国 を 全て 選び なさい ラオス ベネズエラ ハンガリー 
__label__社会 , 学術 や 芸術 分野 で すぐれ た 業績 を あげ た 人 に 贈ら れる 褒賞 は 緑綬 褒章 で ある 
__label__社会 , 次 の 人物 を 、 国民 栄誉 賞 が 授与 さ れ た 時 の 首相 ごと に グループ 分け し なさい 森 喜朗 麻生 太郎 鳩山 由紀夫 高橋 尚子 森 光子 森繁 久彌 遠藤 実 
__label__社会 , 切 土 や 盛土 によって 出来る 斜面 部分 の こと です 法 面 
__label__社会 , 法務省 の 管理 下 に ある 未決囚 を 収容 する 施設 は 拘置 所 で ある 
__label__社会 , 日本 の 刑法 で は 被疑 者 を 逮捕 し た 時 は 必ず 手錠 を かける よう に 定め られ て いる 
__label__社会 , カトリック の 新 教皇 選出 会議 ・ コンクラーベ の 会場 と なる の は バチカン 市 国 の システィナ礼拝堂 で ある 
__label__社会 , 自分 の 名前 や 商号 を 使っ て 商売 する の を 他人 に 許可 する こと 名 板 貸し 
__label__社会 , 頭 に 麺 が 詰まっ た 、 本場 さ ぬき うどん 協同 組合 公認 大使 を 務める キャラクター は 「 うどん ○ 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい のう 
__label__社会 , 東京 23 区 で 最も 人口 が 多い の は 世田谷 区 で ある 
__label__社会 , ブッシュ 元 大統領 も メンバー だっ た 、 アメリカ の イェール 大学 に ある 秘密 結社 は 「 ○ ○ ○ ・アンド・ボーンズ 」 ？ ( 3 文字 ) スカル 
__label__社会 , 日本 の 航空 会社 で 「 JAL 」 と 略さ れる の は 日本航空 で ある 
__label__社会 , 川崎医科大学 の 本部 が ある の は もちろん 神奈川 県 川崎 市 で ある 
__label__社会 , 南米 の 国 ブラジル で 最も 人口 の 多い 都市 は リオデジャネイロ で ある 
__label__社会 , 次 の 国 を 、 他 の 国 と の 国境 線 の 総 延長 が 長い 順 に 選び なさい アメリカ アルゼンチン インド 
__label__社会 , 沿岸 漁業 と 沖合 漁業 が 含ま れる およそ 日帰り が 可能 な 海域 で 行わ れる 漁業 は 近海 漁業 です が 外国 など 根拠地 から 遠く の 漁場 に 長期間 出漁 し て 行わ れる 漁業 は ○ ○ 漁業 ？ ○ の 漢字 を ひ ら が なで 答え なさい えん よう 
__label__社会 , 日本 の 国道 で もっとも 距離 が 長い の は 1 号線 で ある 
__label__社会 , モスクワ の 赤 の 広場 の 「 赤 」 は 共産 主義 を 表す もの で ある 
__label__社会 , 日本 の 宗教 「 天理教 」 は 天理 市 で 誕生 し た こと から その 名 が つけ られ た 
__label__社会 , 遷都 1300 年 祭 に あわせ 、 平城 宮 跡 で 復元 が さ れ た の は 「 ？ 正殿 」 太極 殿 
__label__社会 , 1997 年 に 「 コンゴ 民主 共和 国 」 へ 名称 を 変更 し た アフリカ の 国 は ザイール 共和 国 で ある 
__label__社会 , 男鹿半島 が ある の は 秋田 県 です が 牡鹿半島 が ある の は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい み やぎ 
__label__社会 , 京都 市 に ある 、 JR 西日本 の 蒸気 機関 車 の 保存 展示 施設 は ○ ○ ○ 蒸気 機関 車 館 ？ ( 3 文字 ) 梅小路 
__label__社会 , 長崎 県 と 陸続き で 隣り 合っ て いる 県 は 佐賀 県 で ある 
__label__社会 , [ 画像 問 ] 次 の うち 、 横浜 ランドマークタワー は どっち ？ （ A . 2 つ の ビル の 中央 上 付近 で 連結 | B . 手前 に ある ビル が 一番 高い ） 
__label__社会 , ユーロ が 導入 さ れる まで フランス で 使わ れ て い た 通貨 単位 は フラン です が イタリア で 使わ れ て い た 通貨 単位 は ○ ○ ？ ○ を 答え なさい リラ 
__label__社会 , 次 の 国 を 地域 ごと に グループ 分け し なさい アフリカ ヨーロッパ 【 4 】 ナイジェリア アルジェリア ハンガリー モロッコ オーストリア アイルランド コートジボワール ノルウェー 
__label__社会 , 2013 年 4 月 に グランド オープン する 、 東京 ・ 神田 の 再 開発 計画 ワテラス 
__label__社会 , 安倍 晋 三 首相 が 行う 、 いわゆる 「 アベノミクス 」 と よば れる 経済 政策 で は 、 2 % 以上 の デフレ を 目標 と し て いる 
__label__社会 , 2005 年 3 月 28 日 に 栃木 県 に 誕生 し た 花 の 名前 が つい た 都市 は きく 市 で ある 
__label__社会 , 次 の アジア の 国 を 通貨 単位 ごと に グループ 分け し なさい ～ ・ ドル ～ ・ ルピー スリランカ シンガポール ブルネイ 
__label__社会 , 企業 が 短期 の 資金 を 調達 する ため 発行 する 無 担保 の 約束 手形 ・ CP の 「 C 」 は 「 コマーシャル 」 の 略 です が 「 P 」 は 「 ○ ○ ○ ○ 」 の 略 ？ ○ を 答え なさい ペーパー 
__label__社会 , 公職 選挙 法 に よる と 候補 者 の 苗字 しか 書い て い ない 投票 は 無効 と なる 
__label__社会 , 次 の 建造 物 を その 建造 物 が ある 都道府県 ごと に グループ 分け し なさい 東京 都 大阪 府 日本武道館 通天閣 梅田 スカイ ビル 東京 スカイ ツリー 東京 ビッグ サイト 大阪ドーム 
__label__社会 , 富士山 の 最高 地点 ・ 剣が峰 に 設置 さ れ て いる 三角 点 は 二 等 三角 点 で ある 
__label__社会 , 日本 の 「 消費 税 」 は 間接 税 で ある 
__label__社会 , 約 1200 km の 長 さ を 持つ カリフォルニア 半島 が ある 国 は ○ ○ ○ ○ 合衆国 ？ ○ を 答え なさい メキシコ 
__label__社会 , 鳩山 由紀夫 と 菅 直人 で 、 首相 在任 期間 が 長かっ た の は 菅 直人 で ある 
__label__社会 , 国税 の ひとつ です 贈与 税 
__label__社会 , 1982 年 に 世界 遺産 に 登録 さ れ た コートジボワール 西部 に 広がる 国立 公園 は ？ ベトナム 国立 公園 カンボジア 国立 公園 マレーシア 国立 公園 タイ 国立 公園 
__label__社会 , 農林水産省 が 2010 年 に 始め た 日本 の 食 文化 の 発展 に 貢献 し た 人 を 表彰 する 制度 は 「 料理 ○○○○○」？○ を 答え なさい マスターズ 
__label__社会 , 次 の 俳優 と 、 国民 栄誉 賞 が 授与 さ れ た とき の 首相 の 正しい 組み合わせ を 選び なさい 長谷川 一夫 渥美 清 森 光子 橋本 龍太郎 中曽根 康弘 麻生 太郎 
__label__社会 , 1964 年 に 合併 し て タンザニア に なっ た 国 は タンガニーカ と ○○○○○？○ を 答え なさい ザンジバル 
__label__社会 , 日本 周辺 を 流れる 海流 で 日本 海流 の 別名 は 「 黒潮 」 です が 千島 海流 の 別名 は 「 ○ 潮 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい おや 
__label__社会 , 徳島 県 の 県庁 所在地 は 鳴門 市 で ある 
__label__社会 , JR 東日本 が 運営 する スキー 場 の 最寄り駅 として 、 1990 年 に 開業 し た 上越 線 の 駅 は ガーラ ○ ○ 駅 ？ ○ の 漢字 を ひ ら が なで 答え なさい ゆ ざわ 
__label__社会 , 「 猫 の 日 」 は 毎年 2 月 22 日 で ある 
__label__社会 , 広島 県 や 島根 県 など を 指す 中国地方 という 言葉 は アジア の 国 ・ 中国 に 近い こと から この 名 が ある 
__label__社会 , 福島 県 は 四国 地方 の 県 で ある 
__label__社会 , 自動車 産業 が 盛ん な アメリカ の 都市 デトロイト は トヨタ の 本社 が ある 豊田 市 と 姉妹 都市 関係 を 結ん で いる 
__label__社会 , 日本 の 政令 指定 都市 で 人口 が 最も 多い の は 横浜 市 です が 2 番目 に 多い の は ？ 大坂 市 福岡 市 横浜 市 川崎 市 
__label__社会 , JR 西日本 の 寝台 特急 トワイライトエクスプレス の 運転 区 館 は 札幌 駅 と ○ ○ 駅 間 ？ ○ の 漢字 を ひ ら が なで 答え なさい おおさか 
__label__社会 , 次 の サービス エリア を 高速 道路 ごと に グループ 分け し なさい 関越 自動車 道 常磐 自動車 道 高 坂 SA 中郷 SA 守谷 SA 
__label__社会 , 日本 の 地方自治体 で 村 から 市 へ と 一気に 昇格 し た 例 が ある 
__label__社会 , 生 ニシン ポルダー チューリップ 風車 ルクセンブルク フランス オランダ オーストリア 
__label__社会 , 政治 家 ・ 竹下 亘 の 父親 は 竹下 登 で ある 
__label__社会 , [ 画像 問 ] 次 の うち 、 東京 に ある 皇居 は どっち ？ （ A . 門 と 柵 | B . お 堀 ） 
__label__社会 , 香港 上海 銀行 を 中核 と する 世界 最大 級 の 規模 を 誇る イギリス の 金融 会社 は ○ ○ ○ ○ ホールディングス ？ HSBC 
__label__社会 , バイキング 1 号 が 撮影 し た 有名 な 「 人面 岩 」 が ある の は 火星 で ある 
__label__社会 , 大学 や 短大 に 通い ながら 資格 取得 の ため 専門 学校 に 通う こと を ○ ○ ○ スクール という ？ ○ を 答え なさい ダブル 
__label__社会 , 日本 の 都道府県 を 五十音 順 に 並べ た とき 最初 に 来る の は 愛知 県 です が 最後 に 来る の は ？ 愛知 県 和歌山 県 山梨 県 青森 県 
__label__社会 , 次 の ご 当地 ナンバー と 導入 し て いる 都道府県 の 正しい 組み合わせ を 選び なさい 堺 豊田 成田 愛知 県 大阪 府 千葉 県 
__label__社会 , 1869 年 に 設立 さ れ た アメリカ 最大 の 投資 銀行 は ゴールド マン ・ ○○○○？○ を 答え なさい サックス 
__label__社会 , 「 赤道 」 を 意味 する 国名 を 持つ 南 アメリカ の 国 エクアドル に は 赤道 が 通っ て い ない 
__label__社会 , 本州 に も JR 北海道 の 駅 が ある 
__label__社会 , セランゴール 産業 大学 アイムスト 大学 マラヤ 大学 クアラルンプール 大学 マレーシア インド ベトナム タイ 
__label__社会 , 次 の 水棲 タイプ の 未 確認 生物 と その 生息 が 噂 さ れる 湖 の 正しい 組み合わせ を 選び なさい ネッシー クッシー イッシー 釧路 湖 池田 湖 ネス 湖 
__label__社会 , 異 民族 が 同一 の 地域 に 居住 する 際 それぞれ 自己 の 言語 や 文化 、 生活 様式 を 捨て 一体化 し て 共存 する 形態 の こと を 特に 何 という ？ メルティングポット 
__label__社会 , 1989 年 に 採択 さ れ た 有害 廃棄 物 の 国境 を 越える 移動 を 規制 する 条約 は ○ ○ ○ ○ 条約 ？ バーゼル 
__label__社会 , 1992 年 に 長崎 県 佐世保 市 に オープン し た テーマパーク ハウステンボス 
__label__社会 , 2007 年 10 月 に 発足 し た 日本 郵政 グループ の 会社 で 、 主 に 郵便 貯金 事業 を 引き継い だ の は ゆう ちょ 銀行 です が 主 に 生命 保険 事業 を 引き継い だ の は ○ ○ ○ 生命 保険 ？ ○ を 答え なさい かんぽ 
__label__社会 , 証券 取引 所 が 独自 に 定め た 限度 いっぱい まで 株価 が 値上がり する こと を 「 リミット 髙 」 という 
__label__社会 , 日本 の 都道府県 の 中 で 最も 島 の 数 が 多い の は 沖縄 県 で ある 
__label__社会 , 次 の 国 を 、 自動車 が 右側 通行 か 左側 通行 か で グループ 分け し なさい 右側 通行 左側 通行 日本 インド ベトナム 
__label__社会 , 「 関 サバ 」 「 関 アジ 」 を 特産 品 と する 九州 の 県 は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい おおい た 
__label__社会 , アメリカ の 通貨 単位 は ○ ○ ？ ○ を 答え なさい ドル 
__label__社会 , 日本 の 都道府県 で 対馬 市 が ある の は ？ 群馬 県 長崎 県 和歌山 県 愛知 県 
__label__社会 , 中華人民共和国 で 漢 族 の 次に 人口 が 多い 民族 は チワン 族 で ある 
__label__社会 , そこ に 浮かぶ 島々 に は 、 多く の 古代 文明 の 遺跡 が 点在 する ギリシャ と トルコ の 間 に 広がる 海 は 「 ○ ○ ○ 海 」 ？ ( 3 文字 ) エーゲ 
__label__社会 , 民主党 の 政治 家 ・ 菅 直人 は 弁理 士 の 資格 を 持っ て いる 
__label__社会 , 豊か な 自然 が 残る 沖縄 県 の 西表島 は 島 全体 が 国立 公園 に 指定 さ れ て いる 
__label__社会 , 都道府県 の 名前 に 最も 多く 使わ れ て いる 漢字 は 「 山 」 で ある 
__label__社会 , 三条 仏壇 は 新潟 県 の 伝統 工芸 品 で ある 
